time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.13293517342e-07,5.98697845252e-07,10.0096456821,0.000394146220556,6.28302029311,0.0,1.4006840649e-05,4.98604651533e-05,0.32148775956,0.0172330616098,-0.00891318871422,0.0,503.350675206427,502.7053992631142,500.92262348124086,502.17392899113764
0.12000000000000001,6.80939749031e-06,1.6735966515e-05,10.033882239,0.00115845656493,6.28260030957,0.0,0.000262185282899,0.000590602884694,0.48634108944,0.00175245844951,-0.00342379755364,0.0,457.2262291342583,457.6633923878806,457.46594608877996,456.2316977487056
0.18,3.51173582235e-05,7.60125982483e-05,10.0655334482,0.00080565705351,6.28234178997,0.0,0.000704384330252,0.00138079494157,0.568661331949,-0.0290536136744,-0.00613995788017,0.0,431.14405165113106,430.91462037929597,433.29988808738034,430.7027288941149
0.23999999999999996,0.000101915504607,0.000172495162955,10.1087799662,6.28270009648,6.28179317744,0.0,0.00158161224414,0.00163879126548,0.872707418421,-0.0095933259891,-0.0159533402954,0.0,498.5711922209176,497.85392055973165,496.7263135430074,498.151152742019
0.3,0.000232562913651,0.000257238052673,10.1662727954,6.28193725006,6.28084964615,0.0,0.00287998617496,0.00111175614987,1.04357938108,-0.0198285158318,-0.0152737533519,0.0,459.8123487615326,459.8662813281529,459.81487673054437,459.0035446642826
0.36000000000000004,0.000461120034488,0.000291002571411,10.2336479721,6.28038243989,6.28027245832,0.0,0.00481875446171,-0.000133250546054,1.20210594121,-0.0422829042366,-0.000204269229597,0.0,455.2741510071561,456.4782445579112,457.4035144990688,455.6117927893254
0.4200000000000001,0.000818249014963,0.000206806464468,10.311426498,6.27792837769,6.27992015967,0.0,0.00710186562327,-0.00295955544613,1.39030067024,-0.0382720782341,-0.0207113421925,0.0,466.06346047296347,464.4581502566169,465.5303929650779,465.84329328008886
0.48000000000000015,0.00132399436477,-0.000100042644378,10.399996965,6.27591711943,6.27877412354,0.0,0.00988980902479,-0.00750842449999,1.56182776417,-0.0254010673155,-0.0160596741352,0.0,460.94153363923493,461.30901646236305,460.2243043505867,461.2413824838004
0.5400000000000001,0.0020337852655,-0.000744536680085,10.5017498666,6.27445492541,6.27868058509,0.0,0.0138230085456,-0.0141610087838,1.82954502932,-0.0223836761421,0.0178570977409,0.0,487.49090258835315,490.0185169168951,490.20740731046914,490.4315328070692
0.6000000000000002,0.00297221149464,-0.00182220186013,10.6192604259,6.27313955516,6.28000751853,0.0,0.0173043378253,-0.021923783085,2.08703932431,-0.0210168174181,0.0295017573949,0.0,487.33562750821574,488.2051626293828,487.04200542887696,487.14424834634167
0.6600000000000003,0.00406638517137,-0.00333890460522,10.7464647796,6.27240020025,6.28185173615,0.0,0.0189924222887,-0.0287247806841,2.15298321774,0.00101896359725,0.0330990873179,0.0,430.3555765411228,430.6602955080946,429.0662148211895,430.93292583344686
0.7200000000000003,0.00522894310411,-0.00531930443826,10.8818237233,6.27235406399,0.000661337095346,0.0,0.0195249980595,-0.0372830527072,2.3585808688,-0.00460901721605,0.0335455116696,0.0,473.8083078808941,473.8429859112664,473.47161118133164,473.038461335783
0.7800000000000004,0.00637975925398,-0.00777304645445,11.0256063579,6.27163374878,0.00274906431462,0.0,0.0186339003147,-0.0445485980452,2.43401518347,-0.0339913428457,0.0371844574076,0.0,433.5841483072982,433.89029681903384,436.4234198456644,433.96415094691804
0.8400000000000004,0.00743093838909,-0.0106951451904,11.1748808273,6.26965964147,0.00556909825922,0.0,0.0161405613514,-0.0530587269141,2.54156396043,-0.0308075765308,0.0616426710266,0.0,444.6635002325357,446.66379982994414,444.1757424801742,444.4363391281697
0.9000000000000005,0.00827456159234,-0.0141553161004,11.3296781779,6.2680265809,0.00912720259856,0.0,0.0116232436445,-0.0624486024649,2.61817038606,-0.0208630137608,0.0541548182359,0.0,436.1611289946635,435.537862893155,435.150244522573,435.98169278511665
0.9600000000000005,0.00877175560632,-0.0182189117969,11.4896791394,6.26665567325,0.0123940427323,0.0,0.00462127608573,-0.0731338976473,2.71496440975,-0.0271480671529,0.0550258201785,0.0,442.57286921981046,442.646541642528,442.6464002504082,442.12884078906336
1.0200000000000005,0.0087274640614,-0.0230227284565,11.6596427962,6.2653450795,0.0155863730552,0.0,-0.00648645732193,-0.0871607601277,2.9499064928,-0.0129212065774,0.0492923714639,0.0,484.8454705929428,484.41612720984915,483.89049111715343,484.96027424673326
1.0800000000000005,0.00796663729312,-0.0286667106061,11.8420097023,6.2644749059,0.0182392023712,0.0,-0.0191885435819,-0.101056731831,3.12851146504,-0.0178702677239,0.0313891293798,0.0,469.9224652189776,468.5335755414123,469.4392088150109,469.0551413350215
1.1400000000000006,0.0064510901818,-0.0351004514704,12.0316536594,6.26364410278,0.019890800254,0.0,-0.0314985963113,-0.113489032212,3.19277033161,-0.00681784514462,0.0183961088821,0.0,436.08449997313875,434.9979956868043,433.9114248318896,434.83840090827425
1.2000000000000006,0.00409274553063,-0.0423665611107,12.228832658,6.2630725725,0.0204395424717,0.0,-0.0472150744319,-0.12875984778,3.3793258852,-0.0155807957764,-0.0251796244203,0.0,474.6280747246719,471.27180572682613,473.265331027177,472.59048965698145
1.2600000000000007,0.000859166124188,-0.0504941154389,12.433803678,6.26307037353,0.018588367543,0.0,-0.0604049271181,-0.1421899271,3.45282312486,0.0203149299605,-0.0457089767951,0.0,441.29633521165977,439.59799099539305,436.9772205266229,439.9594710460599
